frame_index,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
0,259.2142028808594,381.4225769042969,377.0702819824219,812.1083374023438,2444.215087890625,420.8243103027344,848.54052734375,2550.343505859375,783.2330322265625,778.505126953125,2305.9208984375,1341.342041015625,791.8184814453125,2397.713623046875,1380.2427978515625,236.82693481445312,219.7342071533203,243.17181396484375,208.24131774902344,0.0,0.0,1380.3553466796875,0.0,0.0,0.0
1,259.1484680175781,373.6445007324219,380.235107421875,798.4865112304688,2439.949462890625,418.3958740234375,865.983642578125,2550.767578125,780.5399780273438,777.6364135742188,2308.336181640625,1342.4332275390625,798.4923095703125,2400.685302734375,1381.5821533203125,232.32382202148438,219.68563842773438,239.00653076171875,208.08920288085938,0.0,0.0,0.0,0.0,0.0,0.0
2,233.03590393066406,373.49237060546875,367.89862060546875,793.1575927734375,2397.05615234375,391.6048278808594,856.95166015625,2550.119873046875,732.1480102539062,726.4380493164062,2308.37353515625,1343.4617919921875,740.6128540039062,2400.58837890625,1381.5692138671875,210.18997192382812,200.482177734375,226.3276824951172,203.64102172851562,0.0,0.0,0.0,0.0,0.0,0.0
3,233.0464630126953,376.8843688964844,376.9382629394531,793.2299194335938,2397.147705078125,394.8620300292969,856.966552734375,2550.8876953125,732.2459106445312,730.6759643554688,2301.7958984375,1342.3985595703125,748.595458984375,2394.47216796875,1380.3038330078125,210.15452575683594,200.50057983398438,226.29727172851562,203.6100616455078,0.0,0.0,0.0,0.0,0.0,0.0
4,222.69256591796875,358.40673828125,341.5705261230469,760.1444091796875,2324.837158203125,386.0277404785156,825.6884155273438,2326.386474609375,690.5072631835938,689.4951171875,2310.8203125,1348.8616943359375,698.597412109375,2413.22265625,1380.2388916015625,199.6897735595703,190.7565460205078,211.6458740234375,181.78628540039062,0.0,0.0,0.0,0.0,0.0,0.0
5,209.05172729492188,339.51947021484375,345.167724609375,749.3672485351562,2263.537353515625,361.83673095703125,815.0213012695312,2247.2265625,659.4378662109375,666.85546875,2317.18701171875,1347.76318359375,666.2744140625,2413.334228515625,1381.572265625,176.3526153564453,176.9403076171875,189.62918090820312,167.42735290527344,0.0,0.0,0.0,0.0,0.0,0.0
6,209.0531463623047,339.4642639160156,348.271728515625,749.3461303710938,2261.40625,361.2929382324219,815.0927734375,2254.709716796875,659.3833618164062,667.04248046875,2305.93701171875,1345.59130859375,667.8739624023438,2413.270263671875,1380.236328125,176.34519958496094,176.93618774414062,189.6486053466797,167.4080047607422,0.0,0.0,1381.597900390625,0.0,0.0,0.0
7,191.9108428955078,325.2147521972656,312.90728759765625,711.7183227539062,2199.295654296875,343.406005859375,786.7154541015625,2155.2197265625,616.9632568359375,622.4805908203125,2321.353515625,1348.865478515625,618.68408203125,2425.98876953125,1380.2449951171875,166.0282745361328,159.8042755126953,185.38665771484375,162.59500122070312,0.0,0.0,1380.3394775390625,0.0,0.0,0.0
8,188.58966064453125,298.98773193359375,300.12042236328125,693.7135620117188,2172.4736328125,336.2907409667969,759.6710815429688,2115.396484375,574.0213623046875,563.4189453125,1234.2706298828125,1349.955078125,573.9991455078125,1211.220947265625,1380.254638671875,164.1873779296875,159.68814086914062,179.08499145507812,162.41758728027344,0.0,0.0,0.0,0.0,0.0,0.0
9,191.83497619628906,299.3133544921875,297.0032043457031,698.1688232421875,2163.85888671875,340.8160705566406,759.6463623046875,2123.84716796875,569.41259765625,563.3271484375,1233.8607177734375,1347.7830810546875,573.8679809570312,1211.3267822265625,1380.24658203125,164.17584228515625,159.67152404785156,179.08583068847656,162.46243286132812,0.0,0.0,0.0,0.0,0.0,0.0
10,187.45326232910156,299.3063049316406,298.63128662109375,676.7137451171875,2103.89599609375,341.6831359863281,718.2135620117188,2075.729248046875,561.5057983398438,557.0615844726562,2321.479736328125,1344.5391845703125,567.1566162109375,1204.6802978515625,1380.2503662109375,162.70680236816406,159.65786743164062,171.41026306152344,162.48133850097656,0.0,0.0,1381.613037109375,0.0,0.0,0.0
11,184.17906188964844,298.9999084472656,301.9668273925781,676.7182006835938,2118.920166015625,333.2332458496094,645.7610473632812,3255.299560546875,560.7642822265625,556.58349609375,2305.896240234375,1343.4642333984375,567.1400756835938,1218.5389404296875,1380.2760009765625,159.62828063964844,159.62335205078125,173.4254150390625,162.50758361816406,0.0,0.0,1381.626953125,0.0,0.0,0.0
12,188.69639587402344,303.8458251953125,301.978759765625,680.6168823242188,2112.582763671875,341.7185363769531,723.1363525390625,2069.548583984375,565.8267211914062,569.50830078125,2305.98876953125,1344.495361328125,563.482666015625,2423.026611328125,1378.9493408203125,168.14393615722656,163.95790100097656,170.75665283203125,162.6128692626953,0.0,0.0,1380.2928466796875,0.0,0.0,1349.989990234375
13,197.78436279296875,303.1635437011719,299.1031494140625,669.3468017578125,2104.08984375,337.1686706542969,743.9306640625,2070.0,551.6921997070312,562.15380859375,2314.86279296875,1343.4290771484375,552.9432983398438,1218.6600341796875,1378.9393310546875,180.3544921875,173.60630798339844,181.19680786132812,167.2539825439453,0.0,0.0,1380.29296875,0.0,0.0,1347.780029296875
14,197.71177673339844,303.33270263671875,295.8591613769531,664.8806762695312,2101.9130859375,341.1251525878906,747.0730590820312,2085.7822265625,551.0178833007812,562.1261596679688,2308.390380859375,1343.42724609375,557.4248046875,1225.570556640625,1375.093994140625,180.31378173828125,173.56478881835938,181.18746948242188,167.25119018554688,0.0,0.0,1377.72021484375,0.0,0.0,1346.704345703125
15,201.45248413085938,312.5740966796875,296.2025146484375,669.2745361328125,2083.513916015625,341.4556579589844,743.2825927734375,2074.722412109375,554.377685546875,557.6951904296875,1249.6739501953125,1343.4327392578125,552.860107421875,1232.392333984375,1376.36083984375,184.83433532714844,182.717041015625,179.75157165527344,167.51788330078125,0.0,0.0,1378.9876708984375,0.0,0.0,1347.777587890625
16,201.53184509277344,308.1128845214844,291.7063903808594,654.7311401367188,2037.3406982421875,340.75732421875,747.9952392578125,2046.983642578125,544.8217163085938,547.8367919921875,2305.8896484375,1342.3763427734375,547.1541748046875,1232.3052978515625,1375.110595703125,184.80718994140625,182.86605834960938,171.8801727294922,171.94918823242188,0.0,0.0,0.0,0.0,0.0,1345.6236572265625
17,201.4734649658203,304.8605651855469,288.3570861816406,655.2109985351562,2035.304443359375,340.2174377441406,745.2078857421875,2055.341796875,544.8792114257812,547.9387817382812,2299.426025390625,1341.32568359375,551.7035522460938,1232.2021484375,1375.08251953125,184.73382568359375,182.81211853027344,173.00997924804688,172.09124755859375,0.0,0.0,1377.7177734375,0.0,0.0,1343.483642578125
18,201.53216552734375,291.85614013671875,283.7700500488281,624.56298828125,2003.06640625,336.9709777832031,736.3763427734375,2017.7156982421875,507.4787902832031,510.7283630371094,2308.365234375,1342.39306640625,510.7693786621094,1239.2342529296875,1376.34326171875,188.9392852783203,186.92852783203125,166.7277069091797,168.80776977539062,0.0,0.0,1378.9891357421875,0.0,0.0,1345.6168212890625
19,198.3092803955078,291.67572021484375,283.7420959472656,620.6463623046875,2003.114501953125,341.3145751953125,726.8770141601562,2015.6239013671875,508.3695373535156,511.9119873046875,2323.8369140625,1343.4559326171875,515.392578125,1218.365966796875,1376.373779296875,185.6986846923828,186.8848114013672,168.0668487548828,168.5935516357422,0.0,0.0,1378.9959716796875,0.0,0.0,0.0
20,202.66224670410156,291.580810546875,282.7019348144531,629.31103515625,1962.149658203125,331.61724853515625,712.827880859375,2006.854248046875,505.7678527832031,506.7775573730469,1251.8426513671875,1344.5079345703125,507.2694396972656,1235.976806640625,1378.9727783203125,184.7625732421875,187.0039520263672,170.66661071777344,168.92138671875,0.0,0.0,1381.595458984375,0.0,0.0,1348.894775390625
21,202.9239044189453,287.4398193359375,282.732666015625,637.8132934570312,1939.029541015625,327.5878601074219,698.8967895507812,1949.1456298828125,502.7244873046875,505.432373046875,1254.915283203125,1343.4586181640625,501.499755859375,1236.0341796875,1380.2462158203125,185.08885192871094,187.19998168945312,185.85218811035156,178.129638671875,0.0,0.0,1381.6180419921875,0.0,0.0,0.0
22,202.9351043701172,291.5849914550781,282.802490234375,641.047607421875,1949.4637451171875,332.0253601074219,695.4517822265625,1940.8602294921875,498.74993896484375,501.94061279296875,1247.898681640625,1343.436767578125,501.4266052246094,1228.859375,1380.2855224609375,188.3280792236328,187.21861267089844,185.95318603515625,178.19491577148438,0.0,0.0,1381.63525390625,0.0,0.0,1346.6827392578125
23,209.84059143066406,286.93133544921875,278.20538330078125,622.8422241210938,1926.025390625,322.3833312988281,696.2451171875,1919.6368408203125,462.7812194824219,456.9364318847656,1019.4577026367188,1343.456787109375,460.9223327636719,1050.5159912109375,1381.57666015625,192.72605895996094,191.70257568359375,190.33477783203125,187.76687622070312,0.0,0.0,0.0,0.0,0.0,0.0
24,210.22079467773438,287.5130920410156,283.2897033691406,621.5195922851562,1781.3275146484375,321.6772155761719,690.5939331054688,1944.778564453125,463.3162536621094,466.1756591796875,1167.988037109375,1344.51025390625,470.0121765136719,1076.8076171875,1380.2535400390625,192.9080352783203,192.0138397216797,191.15997314453125,191.96160888671875,0.0,0.0,1381.5987548828125,0.0,0.0,0.0
